Trade,Strategy,Symbol,Side,DateIn,TimeIn,QtyIn,PriceIn,DateOut,TimeOut,QtyOut,PriceOut,Reason,Bars,PctGain,Profit,PctMFE,PctMAE,Fraction,Size,CommsIn,CommsInPct,CommsOut,CommsOutPct,SlipIn,SlipInPct,SlipOut,SlipOutPct,Dividends,FXSize,FxIn,FxOut,NetFX,SavedCalcIn,SavedCalcOut,VolumePct_In,VolumePct_Out
203,ASX_Trend_Following,CNA-201111.au,Long,2001-01-05,open,344.0,19.1425,2002-01-29,open,344.0,23.13,zero position,122,0.2237,1473.22,0.3844,-0.0205,0.0248,6585,6.6,0.001,12.28,0.0015,31.82,0.0048,39.99,0.005,120.4,6585.02,1,1,0,0,0,0.46803,1.22857
204,ASX_Trend_Following,CNA-201111.au,Long,2000-10-24,open,350.0,17.1353,2002-01-29,open,350.0,23.13,zero position,137,0.368,2206.92,0.5465,-0.005,0.0246,5997,6.6,0.0011,7.12,0.0009,29.84,0.005,40.69,0.005,122.5,5997.36,1,1,0,0,0,0.00875,1.25
205,ASX_Trend_Following,TOL-201505.au,Long,2000-01-04,open,450.322442,5.5672,2002-02-01,open,454.0,30.45,reduce position,525,4.6129,11564.59,4.5414,-0.0462,0.0128,2507,6.6,0.0026,21.44,0.0016,49.6,0.0198,68.9,0.005,275.36,2507.04,1,1,0,0,0,0.02926,0.00036
206,ASX_Trend_Following,CEY-201010.au,Long,2001-10-29,open,8451.0,1.215,2002-03-01,open,8451.0,2.02,reduce position,85,0.6596,6772.62,0.6708,-0.0123,0.0316,10268,6.6,0.0006,23.84,0.0014,80.31,0.0078,85.78,0.005,0.0,10267.97,1,1,0,0,0,0.09848,0.00493
207,ASX_Trend_Following,GRD-200911.au,Long,2001-12-31,open,13500.0,1.27,2002-04-22,open,13698.62,1.165,zero position,76,-0.0546,-936.75,0.1417,-0.1051,0.05,17145,6.6,0.0004,14.04,0.0009,86.67,0.0051,78.98,0.0049,269.99,17145.0,1,1,0,0,0,0.33991,0.9
208,ASX_Trend_Following,OMP-200611.au,Long,2001-12-10,open,5483.0,3.12,2002-05-27,open,5483.0,3.13,zero position,112,0.0276,471.77,0.2756,-0.0224,0.05,17107,6.6,0.0004,15.1,0.0009,84.44,0.0049,86.36,0.005,438.64,17106.96,1,1,0,0,0,0.41157,0.42603
209,ASX_Trend_Following,NFM-200304.au,Long,2000-10-02,open,1531.0,4.5725,2002-06-03,open,1531.0,18.79,reduce position,352,3.1733,22214.35,3.1531,-0.0312,0.0291,7000,6.6,0.0009,43.62,0.0015,59.24,0.0085,144.53,0.005,497.57,7000.5,1,1,0,0,0,0.3062,0.39236
210,ASX_Trend_Following,ALQ.au,Long,2001-10-22,open,3087.0,5.13,2002-06-11,open,3087.0,5.45,zero position,156,0.1195,1892.53,0.2476,-0.0253,0.05,15836,6.6,0.0004,14.81,0.0009,78.72,0.005,84.58,0.005,926.1,15836.31,1,1,0,0,0,0.42155,0.2205
211,ASX_Trend_Following,PRT-202201.au,Long,2001-11-05,open,8708.0,1.86,2002-07-01,open,8708.0,2.23,zero position,155,0.219,3546.59,0.3871,-0.0806,0.05,16197,6.6,0.0004,17.09,0.0009,80.98,0.005,97.53,0.005,348.32,16196.88,1,1,0,0,0,1.64799,2.13431
212,ASX_Trend_Following,PLW-200410.au,Long,2001-11-05,open,4401.0,3.65,2002-07-08,open,4401.0,3.78,zero position,164,0.0439,704.93,0.3014,-0.0548,0.05,16064,6.6,0.0004,14.64,0.0009,80.98,0.005,83.62,0.005,154.04,16063.65,1,1,0,0,0,0.379,0.63342
213,ASX_Trend_Following,GLS.au,Long,1999-08-09,open,7559.0,1.1357,2002-07-15,open,7559.0,2.13,zero position,740,1.2077,10367.57,1.1396,-0.0667,0.05,8585,6.6,0.0008,14.17,0.0009,43.09,0.005,80.88,0.005,2872.43,8584.76,1,1,0,0,0,0.16015,0.19621
214,ASX_Trend_Following,MLT-202109.au,Long,2000-05-08,open,1184.0,9.0448,2002-07-15,open,1184.0,11.86,zero position,529,0.451,4829.76,0.382,-0.0381,0.05,10709,6.6,0.0006,12.36,0.0009,52.98,0.0049,70.57,0.005,1515.52,10709.04,1,1,0,0,0,0.05949,0.14136
215,ASX_Trend_Following,TOL-201505.au,Long,2002-04-02,open,202.532133,36.67,2002-07-15,open,202.532133,30.44,zero position,72,-0.1717,-1275.48,0.0608,-0.1819,0.0185,7427,6.6,0.0009,7.1,0.0012,36.77,0.005,30.98,0.005,0.0,7426.85,1,1,0,0,0,0.00382,0.00132
216,ASX_Trend_Following,TOL-201505.au,Long,2000-01-04,open,341.677558,5.5672,2002-07-15,open,344.468,30.44,zero position,637,4.6465,8838.52,6.0444,-0.0462,0.0097,1902,6.6,0.0035,9.23,0.0009,49.6,0.0261,52.26,0.005,270.93,1902.19,1,1,0,0,0,0.0222,0.00222
217,ASX_Trend_Following,AVG.au,Long,2001-11-01,open,1537.0,4.54,2002-07-22,open,1537.0,4.3,zero position,178,-0.0412,-287.57,0.1344,-0.1189,0.0215,6978,6.6,0.0009,12.0,0.0018,34.58,0.005,33.2,0.005,99.91,6977.98,1,1,0,0,0,0.11467,0.02649
218,ASX_Trend_Following,AVG.au,Long,2001-08-06,open,2036.0,3.45,2002-07-22,open,2036.0,4.3,zero position,241,0.2835,1991.16,0.4928,-0.058,0.021,7024,6.6,0.0009,7.7,0.0009,82.85,0.0118,43.98,0.005,274.86,7024.2,1,1,0,0,0,0.12913,0.0351
219,ASX_Trend_Following,CTL-200603.au,Long,2002-07-08,open,8981.0,2.23,2002-07-22,open,8981.0,2.22,zero position,10,-0.0057,-113.96,0.0224,-0.0179,0.05,20028,6.6,0.0003,17.55,0.0009,99.69,0.005,100.14,0.005,0.0,20027.63,1,1,0,0,0,0.36845,0.20874
220,ASX_Trend_Following,CEY-201010.au,Long,2002-04-02,open,4006.0,2.24,2002-08-01,open,4123.536,1.79,zero position,82,-0.1427,-1280.8,0.1161,-0.2723,0.0224,8973,6.6,0.0007,11.77,0.0016,44.47,0.005,36.05,0.0049,329.88,8973.44,1,1,0,0,0,0.03852,0.00338
221,ASX_Trend_Following,CEY-201010.au,Long,2001-10-29,open,4934.0,1.215,2002-08-01,open,5078.764,1.79,zero position,187,0.6477,3882.6,1.0576,-0.0123,0.0184,5995,6.6,0.0011,8.0,0.0009,80.31,0.0134,44.41,0.0049,801.02,5994.81,1,1,0,0,0,0.05586,0.00416
222,ASX_Trend_Following,DVC-200612.au,Long,2001-02-12,open,13237.0,1.0151,2002-08-05,open,13237.0,1.87,zero position,363,0.9189,12346.89,1.2165,-0.1528,0.05,13437,6.6,0.0005,21.78,0.0009,66.85,0.005,124.43,0.005,1058.96,13436.88,1,1,0,0,0,2.6474,2.28816
223,ASX_Trend_Following,APY-200208.au,Long,2002-07-15,open,19500.0,0.735,2002-08-08,close,19500.0,0.735,end of data,16,-0.0013,-19.21,0.0204,-0.0068,0.0354,14332,6.6,0.0005,12.61,0.0009,71.17,0.005,72.15,0.005,0.0,14332.5,1,1,0,0,0,0.05855,1.3
224,ASX_Trend_Following,AGH-200311.au,Long,2002-05-27,open,25130.0,0.815,2002-08-12,open,25130.0,0.745,zero position,49,-0.087,-1782.18,0.0429,-0.1043,0.05,20481,6.6,0.0003,16.48,0.0009,100.52,0.0049,94.24,0.005,0.0,20480.95,1,1,0,0,0,0.03108,0.41997
225,ASX_Trend_Following,SFL-200208.au,Long,2000-12-27,open,13176.0,0.9748,2002-08-12,close,13176.0,1.99,end of data,407,1.1233,14427.04,1.103,-0.1178,0.05,12844,6.6,0.0005,23.07,0.0009,62.59,0.0049,131.76,0.005,1080.43,12843.96,1,1,0,0,0,1.85577,2.04279
226,ASX_Trend_Following,CAA.au,Long,2002-08-12,open,7870.0,2.51,2002-08-19,open,7870.0,2.48,zero position,5,-0.0132,-259.88,0.0,-0.0239,0.05,19754,6.6,0.0003,17.18,0.0009,98.38,0.005,97.98,0.005,0.0,19753.7,1,1,0,0,0,0.34164,0.45217
227,ASX_Trend_Following,CHY-200603.au,Long,2002-07-22,open,11515.0,1.7,2002-08-19,open,11515.0,1.455,zero position,18,-0.1323,-2590.34,0.0,-0.1412,0.05,19576,6.6,0.0003,14.74,0.0009,99.03,0.0051,84.06,0.005,252.18,19575.5,1,1,0,0,0,2.87875,85.2963
228,ASX_Trend_Following,JBM-200802.au,Long,2001-12-10,open,11258.0,1.44,2002-08-19,open,11258.0,1.495,zero position,172,0.0369,597.78,0.2153,-0.0903,0.05,16212,6.6,0.0004,14.81,0.0009,84.44,0.0052,84.44,0.005,0.0,16211.52,1,1,0,0,0,0.37765,0.08729
229,ASX_Trend_Following,NIX-200212.au,Long,2002-07-29,open,33004.0,0.605,2002-08-19,open,33004.0,0.555,zero position,15,-0.0838,-1672.92,0.0083,-0.157,0.05,19967,6.6,0.0003,16.12,0.0009,97.36,0.0049,92.41,0.005,0.0,19967.42,1,1,0,0,0,0.30042,2.03389
230,ASX_Trend_Following,AOG-200208.au,Long,2002-08-12,open,7287.0,2.71,2002-08-28,close,7287.0,2.7,end of data,8,-0.0049,-96.78,0.0,-0.0074,0.05,19748,6.6,0.0003,17.31,0.0009,98.37,0.005,98.74,0.005,0.0,19747.77,1,1,0,0,0,1.07067,2.9622
231,ASX_Trend_Following,HSP-201009.au,Long,2002-06-11,open,7899.0,2.63,2002-09-02,open,7899.0,2.25,zero position,56,-0.1456,-3023.86,0.0646,-0.1521,0.05,20774,6.6,0.0003,15.64,0.0009,103.48,0.005,89.26,0.005,0.0,20774.37,1,1,0,0,0,0.20125,0.02739
232,ASX_Trend_Following,WEG-200209.au,Long,2002-09-02,open,2932.0,6.93,2002-09-12,close,2932.0,6.67,end of data,8,-0.0387,-786.13,0.0,-0.0332,0.05,20319,6.6,0.0003,17.21,0.0009,101.01,0.005,98.22,0.005,0.0,20318.76,1,1,0,0,0,0.48527,0.01824
233,ASX_Trend_Following,ROK-201112.au,Long,2002-07-22,open,5659.0,3.38,2002-09-23,open,5659.0,3.26,zero position,39,-0.0101,-192.6,0.0621,-0.0533,0.05,19127,6.6,0.0003,16.23,0.0009,99.03,0.0052,92.81,0.005,509.31,19127.42,1,1,0,0,0,0.15504,0.80315
234,ASX_Trend_Following,HIL-202305.au,Long,2001-12-31,open,6061.0,2.87,2002-09-30,open,6061.0,2.97,zero position,189,0.1032,1795.86,0.2021,-0.007,0.05,17395,6.6,0.0004,15.84,0.0009,86.67,0.005,90.31,0.005,1212.2,17395.07,1,1,0,0,0,0.21751,0.09128
235,ASX_Trend_Following,DVC-200612.au,Long,2002-09-02,open,9855.0,2.06,2002-10-07,open,9855.0,1.79,zero position,24,-0.1176,-2387.32,0.0,-0.1505,0.05,20301,6.6,0.0003,15.52,0.0009,101.01,0.005,88.69,0.005,295.65,20301.3,1,1,0,0,0,1.33266,0.66859
236,ASX_Trend_Following,CHO-201012.au,Long,2002-01-29,open,1140.0,15.83,2002-10-14,open,1140.0,16.12,zero position,128,0.0524,946.23,0.1055,-0.0107,0.05,18046,6.6,0.0004,16.17,0.0009,89.78,0.005,92.34,0.005,638.4,18046.2,1,1,0,0,0,0.14625,2.28
237,ASX_Trend_Following,FFL-200312.au,Long,2001-11-12,open,11425.0,1.455,2002-10-21,open,11425.0,1.8,zero position,231,0.3044,5059.43,0.4983,-0.0172,0.05,16623,6.6,0.0004,18.1,0.0009,81.12,0.0049,103.4,0.005,1142.5,16623.38,1,1,0,0,0,0.18434,0.57125
238,ASX_Trend_Following,ARB.au,Long,2001-10-02,open,1590.0,9.05,2002-10-28,open,7950.0,2.79,zero position,263,0.5921,8520.13,0.6354,-0.011,0.0467,14390,6.6,0.0005,19.52,0.0009,71.55,0.005,22.26,0.001,755.25,14389.5,1,1,0,0,0,0.26066,0.1854
239,ASX_Trend_Following,DVN-202107.au,Long,2002-09-02,open,31080.0,0.655,2002-10-28,open,31080.0,0.5,zero position,40,-0.1766,-3594.46,0.0,-0.3282,0.05,20357,6.6,0.0003,13.68,0.0009,101.01,0.005,77.7,0.005,1243.22,20357.4,1,1,0,0,0,0.30113,2.59
240,ASX_Trend_Following,CTL-200603.au,Long,2002-08-19,open,8547.0,2.4,2002-11-04,open,8547.0,2.24,zero position,54,-0.0574,-1177.29,0.125,-0.125,0.05,20513,6.6,0.0003,16.85,0.0009,100.43,0.0049,96.15,0.005,213.68,20512.8,1,1,0,0,0,0.0924,17.094
241,ASX_Trend_Following,OMP-200611.au,Long,2002-08-05,open,5953.0,3.36,2002-11-18,open,8929.043,2.29,zero position,74,0.0568,1135.2,0.1458,-0.0714,0.05,20002,6.6,0.0003,17.99,0.0009,98.82,0.0049,68.46,0.0033,714.37,20002.08,1,1,0,0,0,0.06593,0.47877
242,ASX_Trend_Following,SAQ-200802.au,Long,2002-07-15,open,4230.0,4.77,2002-11-18,open,4230.0,4.09,zero position,82,-0.1122,-2263.72,0.0273,-0.1614,0.05,20177,6.6,0.0003,15.22,0.0009,100.46,0.005,86.93,0.005,634.5,20177.1,1,1,0,0,0,2.06341,0.17211
243,ASX_Trend_Following,CSM-200801.au,Long,2002-08-19,open,30900.0,0.655,2002-12-02,open,30900.0,0.605,zero position,75,-0.0393,-795.55,0.0687,-0.1298,0.05,20240,6.6,0.0003,16.45,0.0009,100.43,0.005,94.25,0.005,772.5,20239.5,1,1,0,0,0,0.28872,0.69534
244,ASX_Trend_Following,RUP-200704.au,Long,2002-10-14,open,3563.0,5.49,2002-12-09,open,3563.0,4.85,zero position,40,-0.0268,-524.19,0.02,-0.1439,0.05,19561,6.6,0.0003,15.21,0.0009,97.09,0.005,86.76,0.005,1777.94,19560.87,1,1,0,0,0,0.68984,0.36019
245,ASX_Trend_Following,UML-201605.au,Long,2002-10-07,open,70586.0,0.28,2002-12-16,open,70586.0,0.28,zero position,50,-0.0012,-23.99,0.0536,-0.0893,0.05,19764,6.6,0.0003,17.39,0.0009,98.82,0.005,98.82,0.005,0.0,19764.08,1,1,0,0,0,0.04154,0.03252
246,ASX_Trend_Following,ANE-200801.au,Long,2002-10-21,open,8438.0,2.31,2003-01-14,open,8438.0,2.3,zero position,44,-0.0055,-108.06,0.026,-0.0606,0.05,19492,6.6,0.0003,17.08,0.0009,97.46,0.005,97.46,0.005,0.0,19491.78,1,1,0,0,0,0.63924,1.32882
247,ASX_Trend_Following,REB-200703.au,Long,2002-07-01,open,10370.0,1.99,2003-02-03,open,10370.0,2.04,zero position,151,0.0289,596.98,0.2563,-0.1106,0.05,20636,6.6,0.0003,18.62,0.0009,100.59,0.0049,106.29,0.005,103.7,20636.3,1,1,0,0,0,0.34215,0.11526
248,ASX_Trend_Following,ORL-201711.au,Long,2002-12-09,open,4395.0,4.57,2003-02-24,open,4395.0,3.98,zero position,39,-0.1302,-2615.04,0.0284,-0.1422,0.05,20085,6.6,0.0003,15.39,0.0009,98.89,0.0049,87.9,0.005,0.0,20085.15,1,1,0,0,0,1.38208,6.06207
249,ASX_Trend_Following,ALS-201212.au,Long,2001-10-29,open,5482.0,3.0,2003-03-10,open,5482.0,3.71,zero position,335,0.3552,5841.27,0.4167,-0.05,0.05,16446,6.6,0.0004,17.9,0.0009,80.31,0.0049,102.24,0.005,1973.55,16446.0,1,1,0,0,0,0.11847,0.09753
250,ASX_Trend_Following,CAA.au,Long,2002-08-26,open,7466.0,2.65,2003-03-31,open,7466.0,2.75,zero position,151,0.0667,1319.21,0.2038,-0.034,0.05,19785,6.6,0.0003,18.07,0.0009,100.42,0.0051,103.03,0.005,597.28,19784.9,1,1,0,0,0,0.06883,0.02516
251,ASX_Trend_Following,NFM-200304.au,Long,2000-10-02,open,1102.0,4.5725,2003-03-31,open,1102.0,19.05,zero position,548,3.2597,16425.04,4.1372,-0.0312,0.0209,5039,6.6,0.0013,18.47,0.0009,59.24,0.0118,105.52,0.005,495.9,5038.89,1,1,0,0,0,0.2204,0.00967
252,ASX_Trend_Following,CPI-201104.au,Long,2002-12-11,open,22522.0,0.865,2003-04-07,open,22522.0,0.855,zero position,74,-0.0128,-248.77,0.2717,-0.0173,0.05,19482,6.6,0.0003,16.95,0.0009,99.1,0.0051,96.84,0.005,0.0,19481.53,1,1,0,0,0,0.57749,0.33008
253,ASX_Trend_Following,TOR-200511.au,Long,2002-12-23,open,13018.0,1.55,2003-05-13,open,13018.0,1.395,zero position,86,-0.0818,-1649.83,0.0968,-0.1871,0.05,20178,6.6,0.0003,15.98,0.0009,100.89,0.005,91.13,0.005,390.54,20177.9,1,1,0,0,0,6.509,1.05349
254,ASX_Trend_Following,WDP-200502.au,Long,2002-11-04,open,10894.0,1.76,2003-05-26,open,10894.0,1.5,zero position,123,-0.1204,-2308.72,0.1932,-0.2045,0.05,19173,6.6,0.0003,14.38,0.0009,98.05,0.0051,82.25,0.005,544.7,19173.44,1,1,0,0,0,0.99036,0.60894
255,ASX_Trend_Following,MCP.au,Long,2002-09-16,open,6212.0,2.09,2003-06-02,open,6212.0,3.17,reduce position,176,0.5763,7482.58,0.5502,-0.0622,0.0318,12983,6.6,0.0005,27.34,0.0014,100.23,0.0077,99.08,0.005,807.56,12983.08,1,1,0,0,0,0.038,0.05406
256,ASX_Trend_Following,TKR-200610.au,Long,2003-03-31,open,13108.0,1.59,2003-06-02,open,13108.0,1.445,zero position,35,-0.0923,-1923.93,0.0314,-0.1132,0.05,20842,6.6,0.0003,16.67,0.0009,103.55,0.005,95.03,0.005,0.0,20841.72,1,1,0,0,0,0.32709,1.37979
257,ASX_Trend_Following,SFC.au,Long,2002-09-23,open,1822.0,10.66,2003-06-30,open,1822.0,12.09,zero position,183,0.1797,3490.48,0.318,-0.0722,0.05,19423,6.6,0.0003,19.38,0.0009,100.67,0.0052,110.69,0.005,911.0,19422.52,1,1,0,0,0,0.61554,0.17518
258,ASX_Trend_Following,MCR-202307.au,Long,2002-11-11,open,42518.0,0.3,2003-10-01,open,42518.0,0.815,reduce position,224,1.7624,22480.45,1.7333,-0.1333,0.0322,12755,6.6,0.0005,47.51,0.0014,99.14,0.0078,174.32,0.005,637.79,12755.4,1,1,0,0,0,0.09982,0.01789
259,ASX_Trend_Following,AGH-200311.au,Long,2002-12-23,open,25869.0,0.785,2003-11-06,close,25869.0,0.845,end of data,202,0.1134,2302.37,0.1465,-0.1083,0.05,20307,6.6,0.0003,19.24,0.0009,100.89,0.005,109.94,0.005,776.07,20307.17,1,1,0,0,0,0.78161,0.68177
260,ASX_Trend_Following,SKE-201510.au,Long,2003-03-10,open,10039.0,2.05,2003-12-01,open,10039.0,2.4,zero position,186,0.245,5041.89,0.6585,-0.0244,0.05,20580,6.6,0.0003,21.2,0.0009,101.9,0.005,120.97,0.005,1556.04,20579.95,1,1,0,0,0,0.15552,0.0614
261,ASX_Trend_Following,BKW-202509.au,Long,2003-02-03,open,3137.0,6.53,2003-12-29,open,3137.0,7.91,zero position,226,0.2406,4928.02,0.3982,-0.0199,0.05,20485,6.6,0.0003,21.84,0.0009,103.52,0.0051,124.7,0.005,627.4,20484.61,1,1,0,0,0,0.53242,0.30134
262,ASX_Trend_Following,SFC.au,Long,2003-11-10,open,2194.0,14.12,2004-04-05,open,2194.0,13.43,zero position,101,-0.0003,-10.59,0.0836,-0.0467,0.05,30979,6.6,0.0002,25.93,0.0009,154.13,0.005,148.09,0.005,1535.8,30979.28,1,1,0,0,0,0.62171,0.44332
263,ASX_Trend_Following,ARB.au,Long,2003-12-01,open,9442.0,3.32,2004-04-19,open,9442.0,3.36,zero position,94,0.0215,673.63,0.1145,-0.1566,0.05,31347,6.6,0.0002,27.92,0.0009,156.74,0.005,159.57,0.005,330.47,31347.44,1,1,0,0,0,0.75876,0.30746
264,ASX_Trend_Following,MCR-202307.au,Long,2004-02-02,open,13895.90204,0.825,2004-05-03,open,13895.90204,0.675,zero position,63,-0.1837,-2105.47,0.2606,-0.2364,0.0171,11464,6.6,0.0006,14.48,0.0015,56.28,0.0049,47.25,0.005,0.0,11464.12,1,1,0,0,0,0.00839,0.02355
265,ASX_Trend_Following,MCR-202307.au,Long,2002-11-11,open,23578.0,0.3,2004-05-03,open,26851.098,0.675,zero position,371,1.6092,11382.22,2.9479,-0.1333,0.0178,7073,6.6,0.0009,15.95,0.0009,99.14,0.014,80.17,0.0044,353.68,7073.4,1,1,0,0,0,0.04861,0.03996
266,ASX_Trend_Following,CYG.au,Long,2002-08-26,open,5163.0,3.92,2004-05-17,open,5163.0,5.58,zero position,415,0.5698,11533.12,0.6582,-0.0434,0.05,20239,6.6,0.0003,25.35,0.0009,100.42,0.005,144.82,0.005,2994.49,20238.96,1,1,0,0,0,0.52851,12.09134
267,ASX_Trend_Following,KRS-201808.au,Long,2003-12-29,open,54251.0,0.595,2004-05-24,open,54251.0,0.605,zero position,101,0.0157,507.03,0.2605,-0.1092,0.05,32279,6.6,0.0002,28.88,0.0009,162.75,0.005,165.47,0.005,0.0,32279.34,1,1,0,0,0,0.23458,0.43353
268,ASX_Trend_Following,MCP.au,Long,2002-09-16,open,3567.0,2.09,2004-05-24,open,3567.0,4.13,zero position,423,1.1155,8316.13,1.7512,-0.0622,0.0182,7455,6.6,0.0009,24.05,0.0016,100.23,0.0134,74.02,0.005,1070.1,7455.03,1,1,0,0,0,0.02182,0.06107
269,ASX_Trend_Following,MCP.au,Long,2003-07-01,open,3817.0,3.3,2004-05-24,open,3817.0,4.13,zero position,227,0.3014,3796.53,0.7424,-0.0333,0.0258,12596,6.6,0.0005,13.87,0.0009,62.6,0.005,79.2,0.005,648.89,12596.1,1,1,0,0,0,0.03168,0.06535
270,ASX_Trend_Following,ADG-201011.au,Long,2002-09-30,open,7247.0,2.78,2004-05-31,open,7247.0,3.67,zero position,394,0.4661,9391.1,0.536,-0.0647,0.05,20147,6.6,0.0003,23.4,0.0009,99.65,0.0049,133.71,0.005,2971.27,20146.66,1,1,0,0,0,0.50414,4.02388
271,ASX_Trend_Following,CIN.au,Long,2003-02-24,open,1978.0,10.55,2004-05-31,open,1978.0,12.24,zero position,261,0.2157,4501.71,0.2569,-0.0379,0.05,20868,6.6,0.0003,21.31,0.0009,102.86,0.0049,121.65,0.005,1186.8,20867.9,1,1,0,0,0,1.64833,1.35479
272,ASX_Trend_Following,GLS.au,Long,2004-05-24,open,15007.0,2.28,2004-05-31,open,15007.0,2.23,zero position,5,-0.023,-786.4,0.0044,-0.0263,0.05,34216,6.6,0.0002,29.45,0.0009,171.08,0.005,168.08,0.005,0.0,34215.96,1,1,0,0,0,0.16307,0.11712
273,ASX_Trend_Following,SDI.au,Long,2003-06-30,open,4056.0,5.94,2004-05-31,open,4056.0,9.67,zero position,232,0.6405,15432.53,1.0707,-0.1246,0.05,24093,6.6,0.0003,34.51,0.0009,119.85,0.005,197.12,0.005,344.76,24092.64,1,1,0,0,0,0.42303,0.14541
274,ASX_Trend_Following,SOL.au,Long,2004-05-31,open,5485.0,6.28,2004-06-07,open,5485.0,6.26,zero position,5,-0.0043,-146.52,0.0032,-0.0143,0.05,34446,6.6,0.0002,30.22,0.0009,170.03,0.0049,172.5,0.005,0.0,34445.8,1,1,0,0,0,0.16476,0.43908
275,ASX_Trend_Following,AC8-202208.au,Long,2004-05-31,open,50761.0,0.675,2004-06-15,open,50761.0,0.635,zero position,10,-0.0603,-2065.41,0.0,-0.0667,0.05,34264,6.6,0.0002,28.37,0.0009,170.05,0.005,162.44,0.005,0.0,34263.68,1,1,0,0,0,8.49556,0.71875
276,ASX_Trend_Following,ZTL-200610.au,Long,2004-05-31,open,40975.0,0.845,2004-06-21,open,40975.0,0.595,zero position,12,-0.2967,-10271.8,0.0769,-0.3491,0.05,34624,6.6,0.0002,21.45,0.0009,170.05,0.0049,122.92,0.005,0.0,34623.88,1,1,0,0,0,0.06531,0.30465
277,ASX_Trend_Following,GFD-200702.au,Long,2002-12-02,open,38857.0,0.505,2004-06-28,open,38857.0,0.935,zero position,382,0.9386,18418.51,1.2574,-0.0891,0.05,19623,6.6,0.0003,31.97,0.0009,99.09,0.005,182.63,0.005,1748.57,19622.78,1,1,0,0,0,0.53046,0.56209
278,ASX_Trend_Following,AVJ-202507.au,Long,2003-03-31,open,20505.0,1.025,2004-07-12,open,20505.0,1.84,zero position,324,0.9688,20362.69,1.2634,-0.0049,0.05,21018,6.6,0.0003,33.2,0.0009,103.55,0.0049,189.67,0.005,3690.92,21017.62,1,1,0,0,0,0.12205,0.12626
279,ASX_Trend_Following,MCP.au,Long,2004-07-12,open,7600.0,4.52,2004-08-16,open,7600.0,4.26,zero position,24,-0.0585,-2011.09,0.0243,-0.0553,0.05,34352,6.6,0.0002,28.49,0.0009,170.24,0.005,162.64,0.005,0.0,34352.0,1,1,0,0,0,0.15591,0.2268
280,ASX_Trend_Following,SKE-201510.au,Long,2004-05-31,open,12234.0,2.79,2004-09-13,open,12234.0,2.79,zero position,74,-0.0011,-36.64,0.1254,-0.0394,0.05,34133,6.6,0.0002,30.04,0.0009,170.05,0.005,171.28,0.005,0.0,34132.86,1,1,0,0,0,0.24477,0.46027
281,ASX_Trend_Following,LDW-201206.au,Long,2003-05-14,open,7248.0,3.07,2004-11-15,open,7248.0,4.5,zero position,274,0.6108,13590.97,0.6287,-0.0228,0.05,22251,6.6,0.0003,28.7,0.0009,112.34,0.005,163.8,0.005,3261.63,22251.36,1,1,0,0,0,6.30261,1.95786
282,ASX_Trend_Following,ARB.au,Long,2004-05-24,open,9531.0,3.61,2005-01-31,open,9531.0,3.72,zero position,173,0.1014,3488.67,0.2188,-0.0693,0.05,34407,6.6,0.0002,31.2,0.0009,171.08,0.005,178.23,0.005,2478.06,34406.91,1,1,0,0,0,1.51888,0.02665
283,ASX_Trend_Following,MGM-200502.au,Long,2003-01-20,open,14478.0,1.445,2005-02-01,close,14653.908,4.13,end of data,513,2.0054,41954.45,2.0329,-0.128,0.05,20921,6.6,0.0003,53.26,0.0009,104.24,0.005,300.42,0.005,2414.38,20920.71,1,1,0,0,0,0.19942,0.03257
284,ASX_Trend_Following,FAN-201612.au,Long,2004-08-16,open,7892.0,4.68,2005-02-28,open,9549.192,4.33,zero position,131,0.13,4800.56,0.3961,-0.0321,0.05,36935,6.6,0.0002,36.39,0.0009,183.09,0.005,171.65,0.0042,430.11,36934.56,1,1,0,0,0,0.20069,0.27186
285,ASX_Trend_Following,CSM-200801.au,Long,2004-06-28,open,18522.0,1.245,2005-03-01,open,18522.0,3.7,reduce position,170,2.0078,46300.07,2.0281,-0.0602,0.0332,23060,6.6,0.0003,90.94,0.0013,171.46,0.0074,344.51,0.005,926.1,23059.89,1,1,0,0,0,0.07603,0.05723
286,ASX_Trend_Following,MND.au,Long,2002-11-18,open,4719.0,2.86,2005-03-01,open,4719.0,11.39,reduce position,553,3.1988,43172.2,3.0385,-0.0559,0.0334,13496,6.6,0.0005,70.84,0.0013,98.77,0.0073,270.16,0.005,2996.57,13496.34,1,1,0,0,0,0.73792,0.14179
287,ASX_Trend_Following,CYG.au,Long,2004-09-13,open,6010.0,6.49,2005-03-21,open,6010.0,6.57,zero position,130,0.039,1521.24,0.2481,-0.0447,0.05,39005,6.6,0.0002,34.75,0.0009,192.32,0.0049,198.33,0.005,1081.79,39004.9,1,1,0,0,0,75.125,0.42929
288,ASX_Trend_Following,ANE-200801.au,Long,2005-03-01,open,4421.0,3.86,2005-03-29,open,4421.0,3.69,zero position,18,-0.0227,-386.83,0.0363,-0.0415,0.0171,17065,20.45,0.0012,34.81,0.0021,85.33,0.005,82.01,0.005,420.0,17065.06,1,1,0,0,0,0.10783,0.23667
