Trade,Strategy,Symbol,Side,DateIn,TimeIn,QtyIn,PriceIn,DateOut,TimeOut,QtyOut,PriceOut,Reason,Bars,PctGain,Profit,PctMFE,PctMAE,Fraction,Size,CommsIn,CommsInPct,CommsOut,CommsOutPct,SlipIn,SlipInPct,SlipOut,SlipOutPct,Dividends,FXSize,FxIn,FxOut,NetFX,SavedCalcIn,SavedCalcOut,VolumePct_In,VolumePct_Out
19,ASX_Trend_Following,IBC.au,Long,1996-12-23,open,7199.0,0.7135,1997-09-01,open,7452.361,0.6866,zero position,172,0.1011,519.06,0.1633,-0.0189,0.05,5136,6.6,0.0013,6.6,0.0013,25.2,0.0049,24.84,0.0049,551.96,5136.49,1,1,0,0,0,0.01652,0.04299
20,ASX_Trend_Following,CPM-200202.au,Long,1997-06-02,open,656.0,9.0524,1997-09-03,open,656.0,8.4575,zero position,64,-0.0679,-403.45,0.2704,-0.1384,0.05,5938,6.6,0.0011,6.6,0.0012,29.13,0.0049,27.88,0.005,0.0,5938.37,1,1,0,0,0,0.05704,0.03124
21,ASX_Trend_Following,KYC-201011.au,Long,1997-02-03,open,1599.0,3.166,1997-09-29,open,1599.0,3.592,zero position,165,0.1319,667.97,0.6109,-0.0051,0.05,5062,6.6,0.0013,6.6,0.0011,25.5,0.005,28.86,0.005,0.0,5062.43,1,1,0,0,0,0.0038,2.132
22,ASX_Trend_Following,HIL-202305.au,Long,1997-09-08,open,2661.0,2.3316,1997-10-27,open,2661.0,2.0935,zero position,31,-0.1042,-646.78,0.1065,-0.0993,0.05,6204,6.6,0.0011,6.6,0.0012,30.87,0.005,27.99,0.005,0.0,6204.39,1,1,0,0,0,0.06718,0.14177
23,ASX_Trend_Following,LAN-199710.au,Long,1997-10-27,open,1836.0,3.5171,1997-10-27,close,1836.0,3.4825,end of data,0,-0.0119,-76.73,0.0,-0.0049,0.05,6457,6.6,0.001,6.6,0.001,31.4,0.0049,32.13,0.005,0.0,6457.4,1,1,0,0,0,9.18,9.18
24,ASX_Trend_Following,ANE-200801.au,Long,1997-06-30,open,1713.0,3.5778,1997-11-03,open,1713.0,3.0348,zero position,87,-0.1539,-943.36,0.0929,-0.1559,0.05,6129,6.6,0.0011,6.6,0.0013,30.41,0.005,26.12,0.005,0.0,6128.77,1,1,0,0,0,0.14295,0.68411
25,ASX_Trend_Following,CRG-201104.au,Long,1997-01-20,open,276.0,11.3664,1997-11-03,open,276.0,14.925,reduce position,184,0.3529,1106.97,0.4604,-0.0102,0.0302,3137,6.6,0.0021,6.6,0.0016,25.7,0.0082,20.7,0.005,138.0,3137.13,1,1,0,0,0,0.16235,0.09302
26,ASX_Trend_Following,HSL-200103.au,Long,1996-12-02,open,2534.0,1.2564,1997-11-03,open,2534.0,2.3084,reduce position,228,0.8327,2651.06,1.0296,-0.0369,0.0318,3184,6.6,0.0021,8.11,0.0014,25.5,0.008,29.39,0.005,0.0,3183.72,1,1,0,0,0,0.49686,0.27567
27,ASX_Trend_Following,NIX-200212.au,Long,1997-05-12,open,3131.0,1.0754,1997-11-03,open,3131.0,1.0945,reduce position,121,0.0138,46.6,0.3948,-0.1631,0.0305,3367,6.6,0.002,6.6,0.0019,27.67,0.0082,17.22,0.005,0.0,3367.08,1,1,0,0,0,0.27226,0.56927
28,ASX_Trend_Following,SSE-200112.au,Long,1997-05-26,open,4676.0,0.824,1997-11-03,open,4676.0,0.7861,reduce position,114,-0.013,-50.14,0.1529,-0.2354,0.033,3853,6.6,0.0017,6.6,0.0018,28.34,0.0074,18.47,0.005,140.28,3853.02,1,1,0,0,0,0.03453,0.12811
29,ASX_Trend_Following,TYA-199906.au,Long,1997-07-28,open,2003.0,2.1708,1997-11-03,open,2003.0,2.2089,reduce position,70,0.026,113.19,0.253,-0.1708,0.0362,4348,6.6,0.0015,6.6,0.0015,29.87,0.0069,22.23,0.005,50.08,4348.11,1,1,0,0,0,0.02266,0.02646
30,ASX_Trend_Following,PLS-199808.au,Long,1997-01-06,open,1821.0,2.814,1997-11-10,open,1821.0,3.0845,zero position,215,0.1504,770.74,0.2864,-0.0583,0.05,5124,6.6,0.0013,6.6,0.0012,25.49,0.005,28.23,0.005,291.36,5124.29,1,1,0,0,0,0.00334,0.05322
31,ASX_Trend_Following,SSE-200112.au,Long,1997-05-26,open,2410.0,0.824,1997-11-10,open,2410.0,0.7463,zero position,119,-0.0645,-128.16,0.1529,-0.2354,0.017,1986,6.6,0.0033,6.6,0.0037,28.34,0.0143,9.04,0.005,72.3,1985.84,1,1,0,0,0,0.0178,0.15548
