Date,System Equity Curve
1996-11-08 00:00:00,100000.0
1996-11-11 00:00:00,99784.78
1996-11-12 00:00:00,99839.37
1996-11-13 00:00:00,99987.58
1996-11-14 00:00:00,100257.05
1996-11-15 00:00:00,100131.23
1996-11-18 00:00:00,100147.46
1996-11-19 00:00:00,100147.46
1996-11-20 00:00:00,100140.66
1996-11-21 00:00:00,100096.81
1996-11-22 00:00:00,100059.76
1996-11-25 00:00:00,100083.77
1996-11-26 00:00:00,101818.48
1996-11-27 00:00:00,102124.57
1996-11-28 00:00:00,102250.65
1996-11-29 00:00:00,102014.7
1996-12-02 00:00:00,101889.69
1996-12-03 00:00:00,101883.15
1996-12-04 00:00:00,101886.33
1996-12-05 00:00:00,102075.77
1996-12-06 00:00:00,101400.03
1996-12-09 00:00:00,101639.24
1996-12-10 00:00:00,101541.63
1996-12-11 00:00:00,101312.42
1996-12-12 00:00:00,100845.78
1996-12-13 00:00:00,100731.84
1996-12-16 00:00:00,100905.8
1996-12-17 00:00:00,100706.04
1996-12-18 00:00:00,100695.83
1996-12-19 00:00:00,101027.47
1996-12-20 00:00:00,100782.71
1996-12-23 00:00:00,100711.51
1996-12-24 00:00:00,100970.31
1996-12-27 00:00:00,100970.31
1996-12-30 00:00:00,101384.21
1996-12-31 00:00:00,101705.88
1997-01-02 00:00:00,101300.67
1997-01-03 00:00:00,101970.76
1997-01-06 00:00:00,101876.49
1997-01-07 00:00:00,101896.59
1997-01-08 00:00:00,102483.61
1997-01-09 00:00:00,102860.11
1997-01-10 00:00:00,102932.44
1997-01-13 00:00:00,102793.27
1997-01-14 00:00:00,102859.81
1997-01-15 00:00:00,102955.79
1997-01-16 00:00:00,103390.32
1997-01-17 00:00:00,102845.0
1997-01-20 00:00:00,102885.85
1997-01-21 00:00:00,102381.87
1997-01-22 00:00:00,101931.48
1997-01-23 00:00:00,101718.17
1997-01-24 00:00:00,101723.28
1997-01-28 00:00:00,100808.35
1997-01-29 00:00:00,100883.69
1997-01-30 00:00:00,101374.77
1997-01-31 00:00:00,102026.83
1997-02-03 00:00:00,102568.0
1997-02-04 00:00:00,101728.2
1997-02-05 00:00:00,101754.56
1997-02-06 00:00:00,102285.62
1997-02-07 00:00:00,103141.56
1997-02-10 00:00:00,103341.56
1997-02-11 00:00:00,103906.82
1997-02-12 00:00:00,104745.49
1997-02-13 00:00:00,105663.4
1997-02-14 00:00:00,105079.3
1997-02-17 00:00:00,105628.26
1997-02-18 00:00:00,105406.77
1997-02-19 00:00:00,105482.6
1997-02-20 00:00:00,105744.18
1997-02-21 00:00:00,106407.9
1997-02-24 00:00:00,106233.32
1997-02-25 00:00:00,106604.95
1997-02-26 00:00:00,106724.76
1997-02-27 00:00:00,106902.56
1997-02-28 00:00:00,107276.18
1997-03-03 00:00:00,106887.51
1997-03-04 00:00:00,106937.02
1997-03-05 00:00:00,107067.9
1997-03-06 00:00:00,107812.94
1997-03-07 00:00:00,108898.77
1997-03-10 00:00:00,108695.23
1997-03-11 00:00:00,108680.75
1997-03-12 00:00:00,109137.69
1997-03-13 00:00:00,108593.05
1997-03-14 00:00:00,107685.92
1997-03-17 00:00:00,107852.78
1997-03-18 00:00:00,108033.26
1997-03-19 00:00:00,107676.88
1997-03-20 00:00:00,107964.99
1997-03-21 00:00:00,107011.6
1997-03-24 00:00:00,107178.7
1997-03-25 00:00:00,108047.33
1997-03-26 00:00:00,108171.61
1997-03-27 00:00:00,109392.31
1997-04-01 00:00:00,107222.22
1997-04-02 00:00:00,107285.06
1997-04-03 00:00:00,106693.09
1997-04-04 00:00:00,106665.45
1997-04-07 00:00:00,106373.7
1997-04-08 00:00:00,106972.92
1997-04-09 00:00:00,106954.95
1997-04-10 00:00:00,106720.7
1997-04-11 00:00:00,107172.02
1997-04-14 00:00:00,106674.58
1997-04-15 00:00:00,107118.96
1997-04-16 00:00:00,107103.42
1997-04-17 00:00:00,107310.12
1997-04-18 00:00:00,107387.6
1997-04-21 00:00:00,107201.73
1997-04-22 00:00:00,107324.06
1997-04-23 00:00:00,108196.69
1997-04-24 00:00:00,108925.79
1997-04-28 00:00:00,108757.75
1997-04-29 00:00:00,109292.22
1997-04-30 00:00:00,110175.02
1997-05-01 00:00:00,109731.57
1997-05-02 00:00:00,110017.87
1997-05-05 00:00:00,110011.85
1997-05-06 00:00:00,109977.21
1997-05-07 00:00:00,110489.15
1997-05-08 00:00:00,110070.9
1997-05-09 00:00:00,110698.85
1997-05-12 00:00:00,110575.06
1997-05-13 00:00:00,110941.2
1997-05-14 00:00:00,110772.75
1997-05-15 00:00:00,110989.72
1997-05-16 00:00:00,112527.59
1997-05-19 00:00:00,112191.72
1997-05-20 00:00:00,112001.96
1997-05-21 00:00:00,112825.4
1997-05-22 00:00:00,112965.5
1997-05-23 00:00:00,113378.38
1997-05-26 00:00:00,113452.66
1997-05-27 00:00:00,114743.84
1997-05-28 00:00:00,115312.14
1997-05-29 00:00:00,115318.32
1997-05-30 00:00:00,116593.67
1997-06-02 00:00:00,117331.74
1997-06-03 00:00:00,118359.85
1997-06-04 00:00:00,119620.99
1997-06-05 00:00:00,120069.14
1997-06-06 00:00:00,120448.99
1997-06-10 00:00:00,120466.84
1997-06-11 00:00:00,120774.96
1997-06-12 00:00:00,120308.44
1997-06-13 00:00:00,121162.98
1997-06-16 00:00:00,121555.64
1997-06-17 00:00:00,121627.34
1997-06-18 00:00:00,121359.99
1997-06-19 00:00:00,121658.62
1997-06-20 00:00:00,123012.52
1997-06-23 00:00:00,122750.96
1997-06-24 00:00:00,121869.63
1997-06-25 00:00:00,122197.34
1997-06-26 00:00:00,122040.98
1997-06-27 00:00:00,121626.09
1997-06-30 00:00:00,122619.53
1997-07-01 00:00:00,122219.18
1997-07-02 00:00:00,122865.72
1997-07-03 00:00:00,122740.51
1997-07-04 00:00:00,122995.48
1997-07-07 00:00:00,121992.87
1997-07-08 00:00:00,120194.94
1997-07-09 00:00:00,120209.07
1997-07-10 00:00:00,119589.68
1997-07-11 00:00:00,120332.94
1997-07-14 00:00:00,120601.56
1997-07-15 00:00:00,119582.98
1997-07-16 00:00:00,118771.3
1997-07-17 00:00:00,119088.98
1997-07-18 00:00:00,118662.38
1997-07-21 00:00:00,117178.39
1997-07-22 00:00:00,118143.61
1997-07-23 00:00:00,118980.4
1997-07-24 00:00:00,118717.35
1997-07-25 00:00:00,119509.46
1997-07-28 00:00:00,120435.71
1997-07-29 00:00:00,121604.56
1997-07-30 00:00:00,122100.66
1997-07-31 00:00:00,122334.76
1997-08-01 00:00:00,123117.65
1997-08-04 00:00:00,122832.08
1997-08-05 00:00:00,122909.74
1997-08-06 00:00:00,124129.72
1997-08-07 00:00:00,123825.58
1997-08-08 00:00:00,124291.51
1997-08-11 00:00:00,122772.93
1997-08-12 00:00:00,122380.37
1997-08-13 00:00:00,120991.85
1997-08-14 00:00:00,121076.65
1997-08-15 00:00:00,122026.59
1997-08-18 00:00:00,119002.73
1997-08-19 00:00:00,121121.67
1997-08-20 00:00:00,122664.06
1997-08-21 00:00:00,124009.58
1997-08-22 00:00:00,123956.17
1997-08-25 00:00:00,123835.59
1997-08-26 00:00:00,123634.4
1997-08-27 00:00:00,122657.98
1997-08-28 00:00:00,123141.0
1997-08-29 00:00:00,122389.84
1997-09-01 00:00:00,121933.1
1997-09-02 00:00:00,122088.27
1997-09-03 00:00:00,122650.27
1997-09-04 00:00:00,122965.66
1997-09-05 00:00:00,123449.98
1997-09-08 00:00:00,124477.29
1997-09-09 00:00:00,124662.15
1997-09-10 00:00:00,124546.23
1997-09-11 00:00:00,123468.03
1997-09-12 00:00:00,123498.68
1997-09-15 00:00:00,123730.33
1997-09-16 00:00:00,123291.59
1997-09-17 00:00:00,124736.18
1997-09-18 00:00:00,125211.54
1997-09-19 00:00:00,125466.38
1997-09-22 00:00:00,126946.54
1997-09-23 00:00:00,127702.54
1997-09-24 00:00:00,127694.68
1997-09-25 00:00:00,129070.86
1997-09-26 00:00:00,129593.25
1997-09-29 00:00:00,130520.49
1997-09-30 00:00:00,132087.13
1997-10-01 00:00:00,132169.26
1997-10-02 00:00:00,132576.25
1997-10-03 00:00:00,132541.63
1997-10-06 00:00:00,133186.47
1997-10-07 00:00:00,132944.55
1997-10-08 00:00:00,133629.56
1997-10-09 00:00:00,132655.28
1997-10-10 00:00:00,132180.06
1997-10-13 00:00:00,131709.72
1997-10-14 00:00:00,131249.14
1997-10-15 00:00:00,130234.94
1997-10-16 00:00:00,130494.46
1997-10-17 00:00:00,130173.76
1997-10-20 00:00:00,129598.14
1997-10-21 00:00:00,129479.27
1997-10-22 00:00:00,129766.57
1997-10-23 00:00:00,127947.55
1997-10-24 00:00:00,125551.67
1997-10-27 00:00:00,121257.84
1997-10-28 00:00:00,111910.5
1997-10-29 00:00:00,120323.95
1997-10-30 00:00:00,119116.89
1997-10-31 00:00:00,121319.89
1997-11-03 00:00:00,120594.65
1997-11-04 00:00:00,121954.6
1997-11-05 00:00:00,122176.07
1997-11-06 00:00:00,122217.55
1997-11-07 00:00:00,121838.74
1997-11-10 00:00:00,121772.39
1997-11-11 00:00:00,121938.05
1997-11-12 00:00:00,121995.66
1997-11-13 00:00:00,121226.47
1997-11-14 00:00:00,121825.79
1997-11-17 00:00:00,122474.22
1997-11-18 00:00:00,122256.63
1997-11-19 00:00:00,122075.29
1997-11-20 00:00:00,122560.95
1997-11-21 00:00:00,123174.62
1997-11-24 00:00:00,123118.43
1997-11-25 00:00:00,122067.72
1997-11-26 00:00:00,121521.0
1997-11-27 00:00:00,121738.63
1997-11-28 00:00:00,121941.04
1997-12-01 00:00:00,122271.65
1997-12-02 00:00:00,122409.18
1997-12-03 00:00:00,123134.08
1997-12-04 00:00:00,123669.9
1997-12-05 00:00:00,123748.06
1997-12-08 00:00:00,123898.32
1997-12-09 00:00:00,123829.23
1997-12-10 00:00:00,123646.55
1997-12-11 00:00:00,123308.27
1997-12-12 00:00:00,123980.78
1997-12-15 00:00:00,124300.59
1997-12-16 00:00:00,124138.27
1997-12-17 00:00:00,124450.02
1997-12-18 00:00:00,124519.71
1997-12-19 00:00:00,124140.94
1997-12-22 00:00:00,123988.28
1997-12-23 00:00:00,124721.76
1997-12-24 00:00:00,124617.43
1997-12-29 00:00:00,124296.49
1997-12-30 00:00:00,124649.12
1997-12-31 00:00:00,124505.24
1998-01-02 00:00:00,124536.69
1998-01-05 00:00:00,125293.58
1998-01-06 00:00:00,125591.92
1998-01-07 00:00:00,125407.82
1998-01-08 00:00:00,125997.31
1998-01-09 00:00:00,125567.28
1998-01-12 00:00:00,125001.28
1998-01-13 00:00:00,125229.73
1998-01-14 00:00:00,125585.81
1998-01-15 00:00:00,125679.26
1998-01-16 00:00:00,125670.83
1998-01-19 00:00:00,125567.5
1998-01-20 00:00:00,126098.2
1998-01-21 00:00:00,126134.08
1998-01-22 00:00:00,126134.78
